name,wins,losses,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,lightweight,welterweight,middleweight,light-heavyweight,wins_to_losses_ratio
Yoshiyuki Yoshida,18,9,0.922077922077922,0.9289242259968677,0.8641975308641976,Southpaw,0.85,36.0,3.67,36.0,1.41,28.0,25.0,2.8,0,0,1,0,2.0
Ron Waterman,16,6,0.8314606741573034,0.36364417213044353,0.896911663216011,Orthodox,0.84,50.0,1.37,42.0,4.19,69.0,50.0,2.8,0,0,0,0,2.6666666666666665
Andre Galvao,5,2,0.8815789473684211,1.0,0.8944944598337952,Orthodox,2.34,52.0,1.56,58.0,2.02,27.0,0.0,2.8,0,1,0,0,2.5
Dan Lauzon,17,6,0.9210526315789475,0.9227034120734908,0.8944944598337952,Orthodox,1.34,25.0,4.09,61.0,1.63,33.0,80.0,2.7,0,1,0,0,2.8333333333333335
Edson Berto,17,12,0.8684210526315789,0.9227034120734908,0.8944944598337952,Orthodox,1.76,36.0,4.62,47.0,5.47,40.0,0.0,2.7,0,1,0,0,1.4166666666666667
Carlton Jones,1,4,0.8202247191011235,0.29220946545652365,0.896911663216011,Orthodox,2.32,41.0,3.58,56.0,4.02,50.0,57.0,2.7,0,0,0,0,0.25
Charles Oliveira,34,9,0.9210526315789475,0.9227034120734908,0.925,Orthodox,3.54,53.0,3.19,51.0,2.32,40.0,55.0,2.7,0,1,0,0,3.7777777777777777
Matt Horwich,30,25,0.9358974358974358,0.9023550919453704,0.9077178278330714,Orthodox,1.11,62.0,2.16,38.0,0.33,9.0,28.0,2.7,0,0,0,1,1.2
Charles McCarthy,10,5,0.8974358974358975,0.9023550919453704,0.855421686746988,Orthodox,0.18,12.0,4.03,56.0,2.67,60.0,0.0,2.7,0,0,0,1,2.0
Julian Marquez,9,4,0.9487179487179488,0.9023550919453704,0.8674698795180723,Orthodox,4.86,44.0,4.99,51.0,0.0,0.0,53.0,2.6,0,0,0,1,2.25
Allan Goes,10,5,0.923076923076923,1.0,0.9077178278330714,Orthodox,0.64,52.0,1.35,41.0,1.75,40.0,0.0,2.6,0,0,0,1,2.0
Nick Thompson,38,14,0.9480519480519479,0.9289242259968677,0.9135802469135802,Orthodox,1.87,42.0,1.8,49.0,1.06,100.0,35.0,2.6,0,0,1,0,2.7142857142857144
Renato Sobral,37,11,0.9358974358974358,1.0,0.9036144578313253,Orthodox,2.23,45.0,1.53,57.0,2.48,42.0,65.0,2.6,0,0,0,1,3.3636363636363638
Daniel Roberts,15,7,0.9090909090909091,0.9289242259968677,0.9135802469135802,Southpaw,0.73,20.0,2.27,46.0,2.46,44.0,40.0,2.5,0,0,1,0,2.142857142857143
Keigo Kunihara,3,2,0.8089887640449438,0.3051793741231712,0.896911663216011,Orthodox,0.17,10.0,1.99,57.0,4.97,40.0,100.0,2.5,0,0,0,0,1.5
Daniel Spohn,15,6,0.9743589743589743,1.0,0.9518072289156627,Southpaw,2.42,49.0,1.6,53.0,0.0,0.0,28.0,2.5,0,0,0,1,2.5
Andre Petroski,10,3,0.923076923076923,0.9023550919453704,0.8795180722891566,Switch,3.61,51.0,3.03,51.0,4.48,54.0,71.0,2.5,0,0,0,1,3.3333333333333335
Dave Menne,45,17,0.9090909090909091,0.9289242259968677,0.9077441077441077,Orthodox,1.84,44.0,1.99,42.0,0.46,50.0,57.0,2.5,0,0,1,0,2.6470588235294117
Renato Verissimo,7,5,0.9480519480519479,0.9289242259968677,0.9077441077441077,Orthodox,0.92,48.0,1.87,47.0,1.46,30.0,50.0,2.5,0,0,1,0,1.4
Ken Shamrock,28,17,0.9358974358974358,1.0,0.8674698795180723,Orthodox,1.47,46.0,4.3,39.0,0.94,60.0,44.0,2.5,0,0,0,1,1.6470588235294117
Dale Hartt,6,3,0.9210526315789475,0.9227034120734908,0.8625,Orthodox,1.14,35.0,1.55,66.0,1.22,100.0,25.0,2.5,0,1,0,0,2.0
Thomas Petersen,8,1,0.8202247191011235,0.342857960889856,0.8809523809523809,Southpaw,3.59,73.0,2.45,40.0,7.34,100.0,100.0,2.5,0,0,0,0,8.0
Ivan Salaverry,14,9,0.923076923076923,0.9023550919453704,0.9077178278330714,Orthodox,3.01,47.0,1.19,76.0,0.49,18.0,36.0,2.5,0,0,0,1,1.5555555555555556
Cody McKenzie,16,10,0.9473684210526316,0.9227034120734908,0.9,Switch,1.74,34.0,2.5,67.0,2.5,25.0,14.0,2.5,0,1,0,0,1.6
Tamdan McCrory,14,5,0.9743589743589743,0.9023550919453704,0.9156626506024096,Switch,2.07,49.0,1.6,46.0,2.28,50.0,33.0,2.5,0,0,0,1,2.8
Jailton Almeida,20,2,0.9615384615384616,1.0,0.9518072289156627,Orthodox,2.78,64.0,0.52,43.0,5.14,55.0,75.0,2.4,0,0,0,1,10.0
